요금제명,통신사,요금제유형,데이터제공량,월요금(원),활성여부
 알뜰한(2GB/200분) ,단말)미디어,LTE, 2GB ,"29,500",TRUE
 LTE (7GB+/통화기본) ,단말)미디어,LTE, 7GB+1Mbps ,"39,900",TRUE
 LTE 통화 맘껏 2.5GB (M) ,단말)KT,LTE, 2.5GB ,"29,200 ",TRUE
 LTE 통화 맘껏 4.5GB (M) ,단말)KT,LTE, 4.5GB ,"32,400 ",TRUE
 LTE 데이터 충분 3GB/100분 ,단말)KT,LTE, 3GB ,"26,400 ",TRUE
 LTE 안심차단 2.5GB/100분 ,단말)KT,LTE," 2.5GB 
(안심차단) ","28,600 ",TRUE
 LTE 데이터 충분 5GB/150분 ,단말)KT,LTE, 5GB ,"28,600 ",TRUE
 LTE 데이터 충분 3GB/200분 ,단말)KT,LTE, 3GB ,"28,600 ",TRUE
 LTE 데이터 충분 3GB/300분 ,단말)KT,LTE, 3GB ,"30,800 ",TRUE
 M 알뜰 안심 단말 통화맘껏 2GB ,단말)KT,LTE," 2GB
+400Kbps ","28,000 ",TRUE
 시니어 안심 4GB+ ,단말)KT,LTE," 4GB
+400Kbps ","35,000 ",TRUE
 LTE 데이터 실속 5GB/200분 ,단말)KT,LTE, 5GB ,"27,000 ",TRUE
 M 알뜰 단말 통화맘껏 2GB ,단말)KT,LTE, 2GB ,"25,000 ",TRUE
 LTE 시니어 안심 2GB+ ,단말)KT,LTE," 2GB
+400Kbps ","28,000 ",TRUE
 LTE 데이터 실속 3GB/300분 ,단말)KT,LTE, 3GB ,"25,100 ",TRUE
 LTE 데이터 실속 5GB/100분 ,단말)KT,LTE, 5GB ,"25,000 ",TRUE
 LTE 데이터 실속 2GB/300분 ,단말)KT,LTE, 2GB ,"23,100 ",TRUE
 LTE 데이터 실속 3GB/200분 ,단말)KT,LTE, 3GB ,"23,100 ",TRUE
 LTE 데이터 실속 5GB/60분 ,단말)KT,LTE, 5GB ,"24,000 ",TRUE
 M 알뜰 단말 통화맘껏 30MB ,단말)KT,LTE, 30MB ,"22,000 ",TRUE
 LTE 데이터 실속 2GB/200분 ,단말)KT,LTE, 2GB ,"21,000 ",TRUE
 LTE 데이터 실속 3GB/100분 ,단말)KT,LTE, 3GB ,"21,000 ",TRUE
 LTE 데이터 실속 2GB/60분 ,단말)KT,LTE, 2GB ,"18,000 ",TRUE
 LTE 데이터 실속 2GB/100분 ,단말)KT,LTE, 2GB ,"19,000 ",TRUE
 LTE 데이터 실속 3GB/60분 ,단말)KT,LTE, 3GB ,"20,000 ",TRUE
 M 알뜰 단말 300분 30MB ,단말)KT,LTE, 30MB ,"16,000 ",TRUE
 시니어 세이브 100분/500MB ,단말)KT,LTE, 500MB ,"18,000 ",TRUE
 알뜰 80분/500건 ,단말)KT,LTE,  ,"17,600 ",TRUE
 M 알뜰 단말 200분 30MB ,단말)KT,LTE, 30MB ,"14,000 ",TRUE
 시니어 VIP 미디엄(LTE) ,단말)KT,LTE, 700MB ,"16,500 ",TRUE
 M 알뜰 단말 100분 30MB ,단말)KT,LTE, 30MB ,"11,900 ",TRUE
 M 알뜰 단말 30분 30MB ,단말)KT,LTE, 30MB ,"9,000 ",TRUE
 복지 50분/0MB ,단말)KT,LTE,  ,"8,800 ",TRUE
중K)37K-5G 슬림 7GB,후불)중고KT,5G,,,TRUE
중K)37K-5G 슬림(이월) 7GB,후불)중고KT,5G,,,TRUE
중K)37K-5G 세이브(군인),후불)중고KT,5G,,,TRUE
중K)37K-5G 주니어 슬림,후불)중고KT,5G,,,TRUE
중K)37K-5G 슬림 4GB,후불)중고KT,5G,,,TRUE
중K)37K-5G 슬림 4GB(이월),후불)중고KT,5G,,,TRUE
중K)37K-순 골든20(LTE),후불)중고KT,5G,,,TRUE
중K)37K-Y틴 ON,후불)중고KT,5G,,,TRUE
중K)37K-Y 군인 33,후불)중고KT,5G,,,TRUE
중K)37K-시니어 베이직,후불)중고KT,5G,,,TRUE
중K)37K-나눔 베이직,후불)중고KT,5G,,,TRUE
중K)37K-Y틴 27(LTE),후불)중고KT,5G,,,TRUE
중K)37K-Y주니어 ON,후불)중고KT,5G,,,TRUE
중K)37K-Y주니어 19.8(LTE),후불)중고KT,5G,,,TRUE
중K)49K-5G 슬림 10GB,후불)중고KT,5G,,,TRUE
중K)49K-5G 슬림 10GB(이월),후불)중고KT,5G,,,TRUE
중K)49K-데이터ON 나눔,후불)중고KT,5G,,,TRUE
중K)55K-5G 슬림 14GB,후불)중고KT,5G,,,TRUE
중K)55K-5G 슬림 14GB(이월),후불)중고KT,5G,,,TRUE
중K)55K-5G 슬림 14GB(군인),후불)중고KT,5G,,,TRUE
중K)55K-5G Y슬림,후불)중고KT,5G,,,TRUE
중K)55K-5G Y슬림(군인),후불)중고KT,5G,,,TRUE
중K)55K-5G 슬림 복지,후불)중고KT,5G,,,TRUE
중K)55K-5G 슬림 복지(군인),후불)중고KT,5G,,,TRUE
중K)55K-5G 시니어 A형,후불)중고KT,5G,,,TRUE
중K)55K-5G 시니어 B형,후불)중고KT,5G,,,TRUE
중K)55K-5G 시니어 C형,후불)중고KT,5G,,,TRUE
중K)55K-5G 슬림 21GB,후불)중고KT,5G,,,TRUE
중K)55K-5G 슬림 21GB(이월),후불)중고KT,5G,,,TRUE
중K)55K-Y 군인 55 Plus(미디어팩),후불)중고KT,5G,,,TRUE
중K)55K-Y 군인 55 Plus,후불)중고KT,5G,,,TRUE
중K)61K-5G 심플 110GB,후불)중고KT,5G,,,TRUE
중K)61K-5G 심플 90GB,후불)중고KT,5G,,,TRUE
중K)61K-5G 심플 70GB,후불)중고KT,5G,,,TRUE
중K)61K-5G 심플 50GB,후불)중고KT,5G,,,TRUE
중K)61K-5G Y틴,후불)중고KT,5G,,,TRUE
중K)61K-5G 심플 복지,후불)중고KT,5G,,,TRUE
중K)61K-5G 심플 30GB,후불)중고KT,5G,,,TRUE
