접점코드,판매점명,실판매POS,통신사,담당영업과장
S텔19026,수)샛별정보통신 (인천),샛별정보통신,후불)텔링크SK,김성수
S텔16607,영)생생통신,생생통신,후불)텔링크SK,원세영
S텔21292,열)샤인모바일,샤인모바일,후불)텔링크SK,박종열
S텔21210,민)샤크텔레콤(김포),샤크텔레콤,후불)텔링크SK,김민준
S텔16511,구)샴푸폰나라,샴푸폰나라,후불)텔링크SK,서승구
S텔22286,웅)서린글로벌,(주) 서린글로벌 봉담점,후불)텔링크SK,정선웅
S텔22245,웅)서린글로벌,(주) 서린글로벌 광교점,후불)텔링크SK,정선웅
S텔16330,웅)서린글로벌,(주) 서린글로벌 향남점,후불)텔링크SK,정선웅
S텔23929,수)서브넷(당고개),서브넷 당고개,후불)텔링크SK,김성수
S텔24094,열)서안모바일,서안모바일,후불)텔링크SK,박종열
S텔26209,민)서우텔(김포),서우텔,후불)텔링크SK,김민준
S텔21806,우)서이,서이,후불)텔링크SK,김선우
S텔24642,열)서준정보통신(포항),서준정보통신,후불)텔링크SK,박종열
S텔21107,열)서하통신(청주),서하통신,후불)텔링크SK,박종열
S텔21719,열)석영통신(여수),(주)석영,후불)텔링크SK,박종열
S텔22230,민)선모바일,썬모바일 (공릉점),후불)텔링크SK,김민준
S텔22227,민)선모바일,비전텔레콤,후불)텔링크SK,김민준
S텔16458,민)선모바일,선모바일,후불)텔링크SK,김민준
S텔25098,영)선봉모바일10호점,선봉모바일10호점,후불)텔링크SK,원세영
S텔22023,영)선봉모바일5호점,선봉모바일5호점,후불)텔링크SK,원세영
S텔21214,영)선봉모바일6호점,선봉모바일6호점,후불)텔링크SK,원세영
S텔22279,영)선봉모바일7호점(부천),선봉모바일 7호점,후불)텔링크SK,원세영
S텔22785,영)선봉모바일9호점,선봉모바일9호점,후불)텔링크SK,원세영
S텔16302,구)선정보통신,선정보통신,후불)텔링크SK,서승구
S텔16127,수)선중텔레콤(하남),선중텔레콤,후불)텔링크SK,김성수
S텔26315,민)선호텔레콤(강변),선호텔레콤,후불)텔링크SK,김민준
S텔21611,구)섬비서모바일(안산),섬비서모바일,후불)텔링크SK,서승구
S텔21777,영)성공,(주)성공,후불)텔링크SK,원세영
S텔21794,열)성공통신,성공통신,후불)텔링크SK,박종열
S텔22665,열)성남통신(금광점),성남통신,후불)텔링크SK,박종열
S텔22677,열)성남통신(성남),성남통신,후불)텔링크SK,박종열
S텔26324,열)성남휴대폰성지(금광점),성남휴대폰성지금광점모두의폰,후불)텔링크SK,박종열
S텔25111,열)성남휴대폰성지(산성점),성남핸드폰성지,후불)텔링크SK,박종열
S텔16609,구)성성텔레콤(천안),성성텔레콤(천안),후불)텔링크SK,서승구
S텔21564,수)성신유통,주식회사 성신유통,후불)텔링크SK,김성수
S텔24199,웅)성실모바일,성실모바일,후불)텔링크SK,정선웅
S텔22510,웅)성원텔레콤,성원텔레콤,후불)텔링크SK,정선웅
S텔26267,구)성지도매통신(강서구),성지도매통신,후불)텔링크SK,서승구
S텔23317,웅)성지모바일,성지모바일,후불)텔링크SK,정선웅
S텔21731,구)성지모바일(양주),성지모바일(양주),후불)텔링크SK,서승구
S텔21725,구)성지모바일(양주),부건모바일,후불)텔링크SK,서승구
S텔20997,구)성지모바일(양주),왕건성지,후불)텔링크SK,서승구
S텔26367,웅)성지요 고덕신도시점,성지요 고덕신도시점,후불)텔링크SK,정선웅
S텔19691,웅)성지요 동백점,성지요 동백점,후불)텔링크SK,정선웅
S텔24186,웅)성지요(옥수),성지요 옥수점,후불)텔링크SK,정선웅
S텔22180,웅)성지요(의왕점),성지요(의왕점),후불)텔링크SK,정선웅
S텔23105,웅)성지요(인계점),성지요 인계점,후불)텔링크SK,정선웅
S텔25732,수)성진정보통신(광진구),성진정보통신,후불)텔링크SK,김성수
S텔16390,웅)성훈대박(송파),성훈대박텔레콤,후불)텔링크SK,정선웅
S텔22683,구)세계로통신(전주),세계로통신,후불)텔링크SK,서승구
S텔25367,수)세교통신멀티샵(오산),세교통신 멀티샵,후불)텔링크SK,김성수
S텔20945,열)세린텔레콤,세린텔레콤,후불)텔링크SK,박종열
S텔21449,열)세븐모바일(동대문),세븐모바일,후불)텔링크SK,박종열
S텔16292,구)세븐모바일(청량리),세븐모바일,후불)텔링크SK,서승구
S텔21386,민)세븐텔레콤(면목),세븐텔레콤,후불)텔링크SK,김민준
S텔23791,수)세상모든폰(길동),세상모든폰,후불)텔링크SK,김성수
S텔17590,수)세상모든폰(암사),세상모든폰,후불)텔링크SK,김성수
S텔23259,수)세연통신,세연통신,후불)텔링크SK,김성수
S텔16317,준)세이브통신,세이브통신,후불)텔링크SK,황병준
S텔22010,수)세인텔레콤(을지로),세인텔레콤,후불)텔링크SK,김성수
S텔16298,구)센텀모바일(하남),센텀모바일,후불)텔링크SK,서승구
S텔20992,영)셀텍(망원),셀텍(망원),후불)텔링크SK,원세영
S텔20234,영)셀폰모바일(경주),셀폰모바일,후불)텔링크SK,원세영
S텔20387,웅)셀프메이드,셀프메이드,후불)텔링크SK,정선웅
S텔21407,구)소녀폰군산점,소녀폰군산점,후불)텔링크SK,서승구
S텔19677,수)소리샘텔레콤(수원),소리샘 텔레콤,후불)텔링크SK,김성수
S텔22643,구)소리이동통신(전주),소리이동통신,후불)텔링크SK,서승구
S텔20864,영)소미스토리(춘천),소미스토리,후불)텔링크SK,원세영
S텔25350,영)소중한휴대폰(천안불당),소중한휴대폰,후불)텔링크SK,원세영
S텔20894,웅)솜모바일,솜모바일,후불)텔링크SK,정선웅
S텔17111,구)송이통신,송이통신,후불)텔링크SK,서승구
S텔24325,열)송정본가(이천),송정본가,후불)텔링크SK,박종열
S텔20361,우)수글로벌,수글로벌,후불)텔링크SK,김선우
S텔20288,우)수글로벌,수글로벌 발안점,후불)텔링크SK,김선우
S텔17442,우)수글로벌,중고폰뱅크 수원점,후불)텔링크SK,김선우
S텔21929,수)수엔 사라스마트폰,사라스마트폰,후불)텔링크SK,김성수
S텔21647,열)수엠비(영암),수엠비,후불)텔링크SK,박종열
S텔20520,준)수연텔레콤,수연텔레콤,후불)텔링크SK,황병준
S텔23392,준)수원통신/M,휴대폰할인매장,후불)텔링크SK,황병준
S텔19188,열)수정통신(대전),수정통신,후불)텔링크SK,박종열
S텔26018,민)수진인피니티,수진인피니티,후불)텔링크SK,김민준
S텔21778,웅)수진정보통신,수진정보통신,후불)텔링크SK,정선웅
S텔25802,수)수진텔레콤(성남),수진텔레콤,후불)텔링크SK,김성수
S텔26271,민)수청텔레콤(당진),수청텔레콤,후불)텔링크SK,김민준
S텔20450,웅)수현정보통신,수현정보통신,후불)텔링크SK,정선웅
S텔20491,수)순돌이모바일(청라),순돌이모바일 인천점,후불)텔링크SK,김성수
S텔23916,수)숲텔레콤,숲텔레콤,후불)텔링크SK,김성수
S텔17593,영)슈텔레콤(마포),슈텔레콤(마포),후불)텔링크SK,원세영
S텔25415,수)슈퍼맨텔레콤(부산동래점),휴대폰성지,후불)텔링크SK,김성수
S텔25402,수)슈퍼맨텔레콤(창원마산),슈퍼맨 텔레콤 창원마산점,후불)텔링크SK,김성수
S텔16538,구)슈퍼폰,슈퍼폰,후불)텔링크SK,서승구
S텔20865,구)스레이럿모바일,스레이럿모바일,후불)텔링크SK,서승구
